ID,Status,Title,Author,author_gender,author_indigenous,author_person_of_color,author_identity_notes,Year,Primary_Region,travel_continents,Tier,Source,Notes
1,Completed,There and Then,James Salter,unknown,unknown,unknown,,,Europe / France,Europe,3,gemini+user,The Alps - literary
2,Completed,In Patagonia,Bruce Chatwin,unknown,unknown,unknown,,1977,South America,South America,2,gemini+chatgpt+user,"Genre-defining, vignettes"
3,HonorableMention,Wild,Cheryl Strayed,unknown,unknown,unknown,,2012,North America,North America,1,gemini+chatgpt+user,Pacific Crest Trail memoir
4,Completed,South,Ernest Shackleton,unknown,unknown,unknown,,1919,Antarctica,Antarctica,1,gemini+chatgpt+user,Ultimate survival story
5,Completed,The Valleys of the Assassins,Freya Stark,unknown,unknown,unknown,,1934,Middle East / Persia,Asia,4,gemini+chatgpt+user,Classic exploration
6,Completed,The Great Railway Bazaar,Paul Theroux,unknown,unknown,unknown,,1975,Asia,Asia,1,gemini+chatgpt,Train travel classic
7,Completed,A Time of Gifts,Patrick Leigh Fermor,unknown,unknown,unknown,,1977,Europe,Europe,2,gemini+chatgpt+user,On foot to Constantinople
8,Completed,A Walk in the Woods,Bill Bryson,unknown,unknown,unknown,,1998,North America,North America,1,gemini+chatgpt+user,Appalachian Trail humor
9,Completed,Arabian Sands,Wilfred Thesiger,unknown,unknown,unknown,,1959,Middle East,Asia,2,gemini+chatgpt+user,Empty Quarter
10,Completed,The Road to Oxiana,Robert Byron,unknown,unknown,unknown,,1937,Middle East,Asia,3,gemini+chatgpt+user,Architecture & history
11,Completed,Venice,Jan Morris,unknown,unknown,unknown,,1960,Europe / Italy,Europe,2,gemini,Perfect city portrait
12,Completed,Black Lamb and Grey Falcon,Rebecca West,unknown,unknown,unknown,,1941,Europe / Balkans,Europe,3,gemini+user,1000+ pages masterpiece
13,Completed,The Snow Leopard,Peter Matthiessen,unknown,unknown,unknown,,1978,Asia / Himalayas,Asia,2,gemini+chatgpt+user,Spiritual journey
14,Completed,A Short Walk in the Hindu Kush,Eric Newby,unknown,unknown,unknown,,1958,Asia / Afghanistan,Asia,2,gemini+chatgpt+user,Amateur adventure
15,Completed,Into the Wild,Jon Krakauer,unknown,unknown,unknown,,1996,North America / Alaska,North America,1,gemini+chatgpt+user,Cautionary tale
16,Completed,West with the Night,Beryl Markham,unknown,unknown,unknown,,1942,Africa,Africa,2,gemini+chatgpt+user,Aviation memoir
17,Completed,Tracks,Robyn Davidson,unknown,unknown,unknown,,1980,Oceania / Australia,Oceania,2,gemini+chatgpt,Desert with camels
18,Candidate,The Innocents Abroad,Mark Twain,unknown,unknown,unknown,,1869,Europe / Holy Land,Europe,2,gemini+user,Satire and humor
19,Completed,Travels with Charley,John Steinbeck,unknown,unknown,unknown,,1962,North America,North America,2,gemini+chatgpt+user,Road trip across USA
20,Completed,The Old Ways,Robert Macfarlane,unknown,unknown,unknown,,2012,Multiple,,3,gemini+chatgpt,Philosophy of walking
21,Candidate,The Travels,Marco Polo,unknown,unknown,unknown,,1300,Asia / Silk Road,Asia,2,gemini,Historical classic
22,Candidate,The Rihla,Ibn Battuta,unknown,unknown,unknown,,1355,Islamic World,,2,gemini,Medieval Islamic travel
23,Completed,Blue Highways,William Least Heat-Moon,unknown,unknown,unknown,,1982,North America,North America,2,gemini+chatgpt,US backroads
25,Candidate,Under the Tuscan Sun,Frances Mayes,unknown,unknown,unknown,,1996,Europe / Italy,Europe,1,gemini,Expat lifestyle
26,Completed,From the Holy Mountain,William Dalrymple,unknown,unknown,unknown,,1997,Middle East,Asia,3,gemini+chatgpt,"Christianity, scholarly"
27,Completed,The Shadow of the Sun,Ryszard Kapuściński,unknown,unknown,unknown,,2001,Africa,Africa,2,gemini+chatgpt+user,Reportage masterpiece
28,Completed,Full Tilt,Dervla Murphy,unknown,unknown,unknown,,1965,Asia,Asia,2,gemini+chatgpt+user,Ireland to India by bike
29,Candidate,The Art of Travel,Alain de Botton,unknown,unknown,unknown,,2002,Multiple,,2,gemini+chatgpt,Philosophy of travel
30,Candidate,A Moveable Feast,Ernest Hemingway,unknown,unknown,unknown,,1964,Europe / Paris,Europe,1,gemini,Lost Generation Paris
31,Candidate,Seven Years in Tibet,Heinrich Harrer,unknown,unknown,unknown,,1952,Asia / Tibet,Asia,1,gemini+chatgpt,War memoir
32,Candidate,Desert Solitaire,Edward Abbey,unknown,unknown,unknown,,1968,North America / Utah,North America,2,gemini+chatgpt,Wilderness environmentalism
33,HonorableMention,The Rings of Saturn,W.G. Sebald,unknown,unknown,unknown,,1995,Europe / UK,Europe,3,gemini+chatgpt,Experimental literary
34,Completed,As I Walked Out One Midsummer Morning,Laurie Lee,unknown,unknown,unknown,,1969,Europe / Spain,Europe,2,gemini,Walking memoir
35,HonorableMention,Eat Pray Love,Elizabeth Gilbert,unknown,unknown,unknown,,2006,Multiple,,1,gemini,Transformational bestseller
36,Completed,The Worst Journey in the World,Apsley Cherry-Garrard,unknown,unknown,unknown,,1922,Antarctica,Antarctica,1,gemini+chatgpt,Antarctic expedition
37,Candidate,"Wind, Sand and Stars",Antoine de Saint-Exupéry,unknown,unknown,unknown,,1939,Africa / Sahara,Africa,2,gemini+chatgpt,Aviation literary
38,Completed,An Area of Darkness,V.S. Naipaul,unknown,unknown,unknown,,1964,Asia / India,Asia,3,gemini+chatgpt,Controversial critique
39,Completed,Video Night in Kathmandu,Pico Iyer,unknown,unknown,unknown,,1988,Asia,Asia,2,gemini+user,Pop culture analysis
40,Completed,Shadow of the Silk Road,Colin Thubron,unknown,unknown,unknown,,2006,Asia,Asia,2,gemini+user,China to Turkey
41,Cut,Homage to Catalonia,George Orwell,unknown,unknown,unknown,,1938,Europe / Spain,Europe,2,gemini,Civil War reportage
42,Candidate,Brazilian Adventure,Peter Fleming,unknown,unknown,unknown,,1933,South America,South America,2,gemini,Amazon expedition
43,Candidate,The Lost City of Z,David Grann,unknown,unknown,unknown,,2009,South America / Amazon,South America,1,gemini,Modern mystery
44,HonorableMention,Vagabonding,Rolf Potts,unknown,unknown,unknown,,2002,Multiple,,2,gemini+user,Long-term travel guide
45,Completed,The Salt Path,Raynor Winn,female,unknown,unknown,,2018,Europe / England,Europe,2,gemini+user,Coastal walking memoir along UK coast - homelessness and healing
46,Candidate,Holidays in Hell,P.J. O'Rourke,unknown,unknown,unknown,,1988,Multiple,,2,gemini,Conflict zones satire
47,Completed,Coming into the Country,John McPhee,unknown,unknown,unknown,,1977,North America / Alaska,North America,2,gemini,Alaska reportage
48,HonorableMention,Old Glory,Jonathan Raban,unknown,unknown,unknown,,1981,North America,North America,2,gemini+user,Mississippi River
49,Completed,Travels with Myself and Another,Martha Gellhorn,unknown,unknown,unknown,,1978,Multiple,,2,gemini,War correspondent
50,Candidate,A Cook's Tour,Anthony Bourdain,unknown,unknown,unknown,,2001,Multiple,,1,gemini,Culinary travel
51,Completed,A Year in Provence,Peter Mayle,unknown,unknown,unknown,,1989,Europe / France,Europe,2,gemini,Expat comedy
52,Candidate,Nothing to Declare,Mary Morris,unknown,unknown,unknown,,1988,Central America,,2,gemini,Mexico travel
53,Completed,The Motorcycle Diaries,Che Guevara,unknown,unknown,unknown,,1993,South America,South America,2,gemini,Political memoir
54,Candidate,The Geography of Bliss,Eric Weiner,unknown,unknown,unknown,,2008,Multiple,,2,gemini+chatgpt,Happiness quest
55,HonorableMention,Stranger in the Forest,Eric Hansen,unknown,unknown,unknown,,1988,Asia / Borneo,Asia,2,gemini,Rainforest trekking
56,Candidate,Iron and Silk,Mark Salzman,unknown,unknown,unknown,,1986,Asia / China,Asia,2,gemini,Martial arts memoir
57,Completed,The River at the Center of the World,Simon Winchester,unknown,unknown,unknown,,1996,Asia / China,Asia,2,gemini+user,Yangtze River
58,Candidate,A Fortune-Teller Told Me,Tiziano Terzani,unknown,unknown,unknown,,1997,Asia,Asia,2,gemini,Fate and travel
59,Completed,Looking for Transwonderland,Noo Saro-Wiwa,unknown,unknown,unknown,,2012,Africa / Nigeria,Africa,3,gemini,Modern Nigeria
61,Candidate,Wild Coast,John Gimlette,unknown,unknown,unknown,,2011,South America,South America,2,gemini,Guyana / Suriname
62,Candidate,Lost in Shangri-La,Mitchell Zuckoff,unknown,unknown,unknown,,2011,Oceania / New Guinea,Oceania,2,gemini,WWII survival
63,Cut,Behind the Beautiful Forevers,Katherine Boo,unknown,unknown,unknown,,2012,Asia / India,Asia,3,gemini+chatgpt,Mumbai slums reportage
64,Completed,The Way of the World,Nicolas Bouvier,unknown,unknown,unknown,,1963,Asia,Asia,3,gemini+chatgpt,Geneva to Khyber Pass
65,Candidate,Paris to the Moon,Adam Gopnik,unknown,unknown,unknown,,2000,Europe / France,Europe,2,gemini,Paris essays
66,Cut,A Year in the Merde,Stephen Clarke,unknown,unknown,unknown,,2004,Europe / France,Europe,4,gemini,Expat satire
67,Candidate,Sea and Sardinia,D.H. Lawrence,unknown,unknown,unknown,,1921,Europe / Italy,Europe,2,gemini,Literary travel
68,Cut,The Sex Lives of Cannibals,J. Maarten Troost,unknown,unknown,unknown,,2004,Oceania / Kiribati,Oceania,3,gemini+chatgpt,Gonzo humor
69,Completed,Arctic Dreams,Barry Lopez,unknown,unknown,unknown,,1986,Arctic,Arctic,3,gemini,Meditative nature
70,Candidate,The Man Who Walked Through Time,Colin Fletcher,unknown,unknown,unknown,,1968,North America,North America,2,gemini,Grand Canyon
71,HonorableMention,The Fearful Void,Geoffrey Moorhouse,unknown,unknown,unknown,,1974,Africa / Sahara,Africa,3,gemini,Desert crossing
73,Candidate,Unbeaten Tracks in Japan,Isabella Bird,unknown,unknown,unknown,,1880,Asia / Japan,Asia,2,gemini,Meiji Japan
74,Candidate,The Oregon Trail,Francis Parkman,unknown,unknown,unknown,,1849,North America,North America,2,gemini,Frontier America
75,Candidate,Eothen,Alexander Kinglake,unknown,unknown,unknown,,1844,Middle East,Asia,4,gemini,Victorian-era dated
76,Completed,River Town,Peter Hessler,unknown,unknown,unknown,,2001,Asia / China,Asia,3,gemini+chatgpt+user,Peace Corps memoir
77,Completed,The Places in Between,Rory Stewart,unknown,unknown,unknown,,2006,Asia / Afghanistan,Asia,2,gemini+chatgpt+user,Post-9/11 walk
78,Cut,Lands of Lost Borders,Kate Harris,unknown,unknown,unknown,,2018,Asia / Silk Road,Asia,2,gemini,Bicycle journey
79,Candidate,The Falling Sky,Davi Kopenawa,unknown,unknown,unknown,,2013,South America / Amazon,South America,4,gemini,Indigenous perspective
80,Candidate,My Journey to Lhasa,Alexandra David-Néel,unknown,unknown,unknown,,1927,Asia / Tibet,Asia,2,gemini,Early female explorer
